name,url,level,school,casting_time,range,components,concentration,ritual,description,source
Detect Poison and Disease,https://www.aidedd.org/dnd/sorts.php?vo=detect-poison-and-disease,Level 1,divination,1 action,Self,"V,S,M",Yes,Yes,"The caster senses and identifies poison, poisonous creature, or disease within 30 ft.",Player´s Handbook (SRD)
Detect Thoughts,https://www.aidedd.org/dnd/sorts.php?vo=detect-thoughts,Level 2,divination,1 action,Self,"V,S,M",Yes,No,"The caster detects the superficial thoughts of a creature within 30 ft, and the deepest if the target misses a Wis. save.",Player´s Handbook (SRD)
Dimension Door,https://www.aidedd.org/dnd/sorts.php?vo=dimension-door,Level 4,conjuration,1 action,500 ft,V,No,No,The caster and another creature of the same size are teleported to a maximum of 500 feet.,Player´s Handbook (SRD)
Disguise Self,https://www.aidedd.org/dnd/sorts.php?vo=disguise-self,Level 1,illusion,1 action,Self,"V,S",No,No,Modify the appearance of the caster (its physical and its equipment) thanks to an illusion.,Player´s Handbook (SRD)
Disintegrate,https://www.aidedd.org/dnd/sorts.php?vo=disintegrate,Level 6,transmutation,1 action,60 ft,"V,S,M",No,No,The target must succeed on a Dex. save or take 10d6+40 force damage (damage/lvl). An Large or smaller object is disintegrated.,Player´s Handbook (SRD)
Dispel Evil and Good,https://www.aidedd.org/dnd/sorts.php?vo=dispel-evil-and-good,Level 5,abjuration,1 action,Self,"V,S,M",Yes,No,"End a condition (charmed, frightened, or possessed) or bannish a creature to its home plane (Cha. save).",Player´s Handbook (SRD)
Dispel Magic,https://www.aidedd.org/dnd/sorts.php?vo=dispel-magic,Level 3,abjuration,1 action,120 ft,"V,S",No,No,End spells of 3rd level 3 or lower on a target. Ability check for each spell of 4th level or higher (threshold/lvl).,Player´s Handbook (SRD)
Dissonant Whispers,https://www.aidedd.org/dnd/sorts.php?vo=dissonant-whispers,Level 1,enchantment,1 action,60 ft,V,No,No,The target must succeed on a Wis. save or take 3d6 psychic damage and move away (damage/lvl).,Player´s Handbook (BR+)
Divination,https://www.aidedd.org/dnd/sorts.php?vo=divination,Level 4,divination,1 action,Self,"V,S,M",No,Yes,The caster gets a truthful reply to 1 question about an event to occur within 7 days.,Player´s Handbook (SRD)
Divine Favor,https://www.aidedd.org/dnd/sorts.php?vo=divine-favor,Level 1,evocation,1 bonus action,Self,"V,S",Yes,No,"If a weapon attack hits, deals an extra 1d4 radiant damage.",Player´s Handbook (SRD)
Divine Word,https://www.aidedd.org/dnd/sorts.php?vo=divine-word,Level 7,evocation,1 bonus action,30 ft,V,No,No,"Targets must succeed on a Cha. save or suffer an effect (deafened, blinded, etc). Some creatures are banned.",Player´s Handbook (SRD)
Dominate Beast,https://www.aidedd.org/dnd/sorts.php?vo=dominate-beast,Level 4,enchantment,1 action,60 ft,"V,S",Yes,No,A beast within 60 ft must succeed on a Wis. save or be charmed and obey the launcher (duration/lvl).,Player´s Handbook (SRD)
Dominate Monster,https://www.aidedd.org/dnd/sorts.php?vo=dominate-monster,Level 8,enchantment,1 action,60 ft,"V,S",Yes,No,The target must succeed on a Wis. save or be charmed and obey the caster (duration/lvl).,Player´s Handbook (SRD)
Dominate Person,https://www.aidedd.org/dnd/sorts.php?vo=dominate-person,Level 5,enchantment,1 action,60 ft,"V,S",Yes,No,One humanoid must succeed on a Wis. save or be charmed and obey the caster (duration/lvl).,Player´s Handbook (SRD)
Dragon's Breath,https://www.aidedd.org/dnd/sorts.php?vo=dragon-s-breath,Level 2,transmutation,1 bonus action,Touch,"V,S,M",Yes,No,"Spew a 15-ft cone that deals 3d6 acid, cold, fire, lightning, or poison damage in case of failed Dex. save (damage/lvl).",Xanathar´s Guide to Everything
Drawmij's Instant Summons,https://www.aidedd.org/dnd/sorts.php?vo=drawmij-s-instant-summons,Level 6,conjuration,1 minute,Touch,"V,S,M",No,Yes,"Mark a 10 pounds or less object and allow to teleport it into the caster hand, wherever it is, if not held.",Player´s Handbook (SRD)
Dream,https://www.aidedd.org/dnd/sorts.php?vo=dream,Level 5,illusion,1 minute,Special,"V,S,M",No,No,Shape the dreams of a sleeping creature who can take 3d6 psychic damage if it fails on a Wis. save.,Player´s Handbook (SRD)
Dream of the Blue Veil,https://www.aidedd.org/dnd/sorts.php?vo=dream-of-the-blue-veil,Level 7,conjuration,10 minutes,20 ft,"V,S,M",No,No,You and up to 8 willing creatures fall unconscious and are physically transported to another world on the material plan.,Tasha´s Cauldron of Everything
Druid Grove,https://www.aidedd.org/dnd/sorts.php?vo=druid-grove,Level 6,abjuration,10 minutes,Touch,"V,S,M",No,No,"Protect a 30 x 30 x 30 ft area with fog, vines, animated trees, or other effects.",Xanathar´s Guide to Everything
Druidcraft,https://www.aidedd.org/dnd/sorts.php?vo=druidcraft,Cantrip,transmutation,1 action,30 ft,"V,S",No,No,"Provide various minor effects related to nature (weather forecast, flowering, sensory effect, etc).",Player´s Handbook (SRD)
Dust Devil,https://www.aidedd.org/dnd/sorts.php?vo=dust-devil,Level 2,conjuration,1 action,60 ft,"V,S,M",Yes,No,Creatures within 5 ft must succeed on a Str. save or take 1d8 bludgeoning damage (damage/lvl).,Xanathar´s Guide to Everything
Earth Tremor,https://www.aidedd.org/dnd/sorts.php?vo=earth-tremor,Level 1,evocation,1 action,10 ft,"V,S",No,No,Creatures in a 10-foot radius must succeed on a Dex. save or take 1d6 bludgeoning damage and be knocked prone (damage/lvl).,Xanathar´s Guide to Everything
Earthbind,https://www.aidedd.org/dnd/sorts.php?vo=earthbind,Level 2,transmutation,1 action,300 ft,V,Yes,No,Target within 300 ft must succeed on a Str. save or its flying speed is reduced to 0 (descends at 60 ft/round).,Xanathar´s Guide to Everything
Earthquake,https://www.aidedd.org/dnd/sorts.php?vo=earthquake,Level 8,evocation,1 action,500 ft,"V,S,M",Yes,No,Creatures in a 100-ft radius must succeed on a Dex. save or be knocked prone. Cause damage to structures.,Player´s Handbook (SRD)
Eldritch Blast,https://www.aidedd.org/dnd/sorts.php?vo=eldritch-blast,Cantrip,evocation,1 action,120 ft,"V,S",No,No,"If the spell attack hits, deals 1d10 force damage (nbr of beam/lvl).",Player´s Handbook (SRD)
Elemental Bane,https://www.aidedd.org/dnd/sorts.php?vo=elemental-bane,Level 4,transmutation,1 action,90 ft,"V,S",Yes,No,The target must succeed on a Con. save or suffer an extra 2d6 damage of a specific type (+1 target/lvl).,Xanathar´s Guide to Everything
Elemental Weapon,https://www.aidedd.org/dnd/sorts.php?vo=elemental-weapon,Level 3,transmutation,1 action,Touch,"V,S",Yes,No,A weapon becomes magical with a +1 bonus to attack rolls and deal an extra 1d4 damage of a chosen type (bonus/lvl).,Player´s Handbook
Enemies Abound,https://www.aidedd.org/dnd/sorts.php?vo=enemies-abound,Level 3,enchantment,1 action,120 ft,"V,S",Yes,No,The target must succeed on an Int. save or not be able to distinguish friend from foe ; all are ennemis for it.,Xanathar´s Guide to Everything
Enervation,https://www.aidedd.org/dnd/sorts.php?vo=enervation,Level 5,necromancy,1 action,60 ft,"V,S",Yes,No,The target must succeed on a Dex. save or take 4d8 necrotic damage each turn (+1d8/lvl).,Xanathar´s Guide to Everything
Enhance Ability,https://www.aidedd.org/dnd/sorts.php?vo=enhance-ability,Level 2,transmutation,1 action,Touch,"V,S,M",Yes,No,"The target gains advantage on ability checks for one predefined ability, and other bonuses in such cases (+1 creature/lvl).",Player´s Handbook (SRD)
Enlarge/Reduce,https://www.aidedd.org/dnd/sorts.php?vo=enlarge-reduce,Level 2,transmutation,1 action,30 ft,"V,S,M",Yes,No,Double or halve the size of a creature (Con. save) or an object.,Player´s Handbook (SRD)
Ensnaring Strike,https://www.aidedd.org/dnd/sorts.php?vo=ensnaring-strike,Level 1,conjuration,1 bonus action,Self,V,Yes,No,The target must succeed on a Str. save or be restrained and take 1d6 piercing damage (damage/lvl).,Player´s Handbook
Entangle,https://www.aidedd.org/dnd/sorts.php?vo=entangle,Level 1,conjuration,1 action,90 ft,"V,S",Yes,No,Creatures in a 20-ft square (difficult terrain) must succeed on a Str. save or be restrained.,Player´s Handbook (SRD)
Enthrall,https://www.aidedd.org/dnd/sorts.php?vo=enthrall,Level 2,enchantment,1 action,60 ft,"V,S",No,No,Targets must succeed on a Wis. save or have disadvantage on Wisdom (Perception) checks to perceive others creatures.,Player´s Handbook (SRD)
Erupting Earth,https://www.aidedd.org/dnd/sorts.php?vo=erupting-earth,Level 3,transmutation,1 action,120 ft,"V,S,M",No,No,Creatures in a 20-foot cube (difficult terrain) must succeed on a Dex. save or take 3d12 bludgeoning damage (damage/lvl).,Xanathar´s Guide to Everything
Etherealness,https://www.aidedd.org/dnd/sorts.php?vo=etherealness,Level 7,transmutation,1 action,Self,"V,S",No,No,The caster is projected into the Ethereal Plane (nbr of creatures/lvl).,Player´s Handbook (SRD)
Evard's Black Tentacles,https://www.aidedd.org/dnd/sorts.php?vo=evard-s-black-tentacles,Level 4,conjuration,1 action,90 ft,"V,S,M",Yes,No,Creatures in a 20-ft square must succeed on a Dex. save or take 3d6 bludgeoning damage and be restrained.,Player´s Handbook (SRD)
Expeditious Retreat,https://www.aidedd.org/dnd/sorts.php?vo=expeditious-retreat,Level 1,transmutation,1 bonus action,Self,"V,S",Yes,No,The caster can take the Dash action by using a bonus action.,Player´s Handbook (SRD)
Eyebite,https://www.aidedd.org/dnd/sorts.php?vo=eyebite,Level 6,necromancy,1 action,Self,"V,S",Yes,No,"The target in a 60-ft radius must succeed on a Wis. save or take on a the following effects: asleep, panicked or sickened.",Player´s Handbook (SRD)
Fabricate,https://www.aidedd.org/dnd/sorts.php?vo=fabricate,Level 4,transmutation,10 minutes,120 ft,"V,S",No,No,Convert raw materials into Large or smaller simples objects of the same material.,Player´s Handbook (SRD)
Faerie Fire,https://www.aidedd.org/dnd/sorts.php?vo=faerie-fire,Level 1,evocation,1 action,60 ft,V,Yes,No,Creatures in a 20-ft cube must succeed on a Dex. save or grant advantage against them to attackers.,Player´s Handbook (SRD)
False Life,https://www.aidedd.org/dnd/sorts.php?vo=false-life,Level 1,necromancy,1 action,Self,"V,S,M",No,No,The caster gains 1d4+4 temporary hp (+5 hp/lvl).,Player´s Handbook (SRD)
Far Step,https://www.aidedd.org/dnd/sorts.php?vo=far-step,Level 5,conjuration,1 bonus action,Self,V,Yes,No,Teleport the caster up to 60 ft on each round with a bonus action.,Xanathar´s Guide to Everything
Fear,https://www.aidedd.org/dnd/sorts.php?vo=fear,Level 3,illusion,1 action,Self (30-ft cone),"V,S,M",Yes,No,"Creatures in a 30-ft cone must succeed on a Wis. save or drop whatever they are holding, become frightened and move away.",Player´s Handbook (SRD)
Feather Fall,https://www.aidedd.org/dnd/sorts.php?vo=feather-fall,Level 1,transmutation,1 reaction,60 ft,"V,M",No,No,Up to 5 creatures fall at 60 feet per round and take no falling damage before the spell ends.,Player´s Handbook (SRD)
Feeblemind,https://www.aidedd.org/dnd/sorts.php?vo=feeblemind,Level 8,enchantment,1 action,150 ft,"V,S,M",No,No,The target take 4d6 psychic damage and must succeed on an Int. save or his Charisma and Intelligence scores become 1.,Player´s Handbook (SRD)
Feign Death,https://www.aidedd.org/dnd/sorts.php?vo=feign-death,Level 3,necromancy,1 action,Touch,"V,S,M",No,Yes,The willing target appears dead to all outward inspection.,Player´s Handbook
Find Familiar,https://www.aidedd.org/dnd/sorts.php?vo=find-familiar,Level 1,conjuration,1 hour,10 ft,"V,S,M",No,Yes,Summon a small animal that obeys the caster and telepathically shares his senses with him.,Player´s Handbook (SRD)
Find Greater Steed,https://www.aidedd.org/dnd/sorts.php?vo=find-greater-steed,Level 4,conjuration,10 minutes,30 ft,"V,S",No,No,"Summon a spirit that assumes the form a steed (griffon, pegasus, etc) telepathically linked to the caster.",Xanathar´s Guide to Everything
Find Steed,https://www.aidedd.org/dnd/sorts.php?vo=find-steed,Level 2,conjuration,10 minutes,30 ft,"V,S",No,No,"Summon a spirit that assumes the form a steed (horse, elk, etc) telepathically linked to the caster.",Player´s Handbook (SRD)
Find the Path,https://www.aidedd.org/dnd/sorts.php?vo=find-the-path,Level 6,divination,1 minute,Self,"V,S,M",Yes,No,Determine the shortest and most direct physical path to reach a known destination.,Player´s Handbook (SRD)
Find Traps,https://www.aidedd.org/dnd/sorts.php?vo=find-traps,Level 2,divination,1 action,120 ft,"V,S",No,No,"The caster senses the presence of any trap in a 120-ft radius, but the spell don't give their location.",Player´s Handbook (SRD)
Finger of Death,https://www.aidedd.org/dnd/sorts.php?vo=finger-of-death,Level 7,necromancy,1 action,60 ft,"V,S",No,No,"The target must succeed on a Con. save or take 7d8+30 necrotic damage. If killed, becomes a zombie under the caster command.",Player´s Handbook (SRD)
Fire Bolt,https://www.aidedd.org/dnd/sorts.php?vo=fire-bolt,Cantrip,evocation,1 action,120 ft,"V,S",No,No,"If the spell attack hits, deals 1d10 fire damage (damage/lvl). An object can ignite.",Player´s Handbook (SRD)
Fire Shield,https://www.aidedd.org/dnd/sorts.php?vo=fire-shield,Level 4,evocation,1 action,Self,"V,S,M",No,No,"The caster gains resistance to cold or fire damage, and deals 2d8 damage to attackers who hit him within 5 ft.",Player´s Handbook (SRD)
Fire Storm,https://www.aidedd.org/dnd/sorts.php?vo=fire-storm,Level 7,evocation,1 action,150 ft,"V,S",No,No,Creatures in ten 10-ft cube must succeed on a Dex. save or take 7d10 fire damage.,Player´s Handbook (SRD)
Fireball,https://www.aidedd.org/dnd/sorts.php?vo=fireball,Level 3,evocation,1 action,150 ft,"V,S,M",No,No,Creatures in a 20-ft radius must succeed on a Dex. save or take 8d6 fire damage (damage/lvl).,Player´s Handbook (SRD)
Flame Arrows,https://www.aidedd.org/dnd/sorts.php?vo=flame-arrows,Level 3,transmutation,1 action,Touch,"V,S",Yes,No,12 arrows/bolts deal an extra 1d6 fire damage (+2 ammunition/lvl).,Xanathar´s Guide to Everything
Flame Blade,https://www.aidedd.org/dnd/sorts.php?vo=flame-blade,Level 2,evocation,1 bonus action,Self,"V,S,M",Yes,No,"If the spell attack hits, deals 3d6 fire damage (damage/lvl). Shed bright light in 10 ft and dim light in additional 10 ft.",Player´s Handbook (SRD)
Flame Strike,https://www.aidedd.org/dnd/sorts.php?vo=flame-strike,Level 5,evocation,1 action,60 ft,"V,S,M",No,No,"Creatures in a 10-ft-radius, 40-ft-high cylinder must succeed on a Dex. save or take 4d6 fire and 4d6 radiant (damage/lvl).",Player´s Handbook (SRD)
Flaming Sphere,https://www.aidedd.org/dnd/sorts.php?vo=flaming-sphere,Level 2,conjuration,1 action,60 ft,"V,S,M",Yes,No,Creatures within 5 ft from a 5-ft-diameter sphere must succeed on a Dex. save or take 2d6 fire damage (damage/lvl).,Player´s Handbook (SRD)
Flesh to Stone,https://www.aidedd.org/dnd/sorts.php?vo=flesh-to-stone,Level 6,transmutation,1 action,60 ft,"V,S,M",Yes,No,"The target within 60 ft must succeed on a Con. save or be restrained, or petrified after 3 failures.",Player´s Handbook (SRD)
Fly,https://www.aidedd.org/dnd/sorts.php?vo=fly,Level 3,transmutation,1 action,Touch,"V,S,M",Yes,No,The target gets a flying speed of 60 ft (+1 creature/lvl).,Player´s Handbook (SRD)
Fog Cloud,https://www.aidedd.org/dnd/sorts.php?vo=fog-cloud,Level 1,conjuration,1 action,120 ft,"V,S",Yes,No,Makes an area heavily obscured in a 20-ft-radius sphere (+20 ft/lvl).,Player´s Handbook (SRD)
Forbiddance,https://www.aidedd.org/dnd/sorts.php?vo=forbiddance,Level 6,abjuration,10 minutes,Touch,"V,S,M",No,Yes,Prevent teleporting to the protected area and inflicts 5d10 radiant or necrotic damage to some type of creatures.,Player´s Handbook (SRD)
Forcecage,https://www.aidedd.org/dnd/sorts.php?vo=forcecage,Level 7,evocation,1 action,100 ft,"V,S,M",No,No,Creates a 20-ft cage or a 10-ft box of magical force that traps a creature. Escape by magicial means only.,Player´s Handbook (SRD)
Foresight,https://www.aidedd.org/dnd/sorts.php?vo=foresight,Level 9,divination,1 minute,Touch,"V,S,M",No,No,"1 creature sees its near future, can not be surprised and has advantage on his rolls. Attacks against it have disadvantage.",Player´s Handbook (SRD)
Freedom of Movement,https://www.aidedd.org/dnd/sorts.php?vo=freedom-of-movement,Level 4,abjuration,1 action,Touch,"V,S,M",No,No,"Target's movement is unaffected by difficult terrain, spells or water.",Player´s Handbook (SRD)
Friends,https://www.aidedd.org/dnd/sorts.php?vo=friends,Cantrip,enchantment,1 action,Self,"S,M",Yes,No,The casters gets advantage on all Charisma checks directed at one chosen creature that isn't hostile toward him.,Player´s Handbook (BR+)
Frostbite,https://www.aidedd.org/dnd/sorts.php?vo=frostbite,Cantrip,evocation,1 action,60 ft,"V,S",No,No,The target must succeed on a Con. save or take 1d6 cold damage and have disadvantage on next attack roll (damage/lvl).,Xanathar´s Guide to Everything
Gaseous Form,https://www.aidedd.org/dnd/sorts.php?vo=gaseous-form,Level 3,transmutation,1 action,Touch,"V,S,M",Yes,No,"The target turns into a cloud, gets a flying speed of 10 ft, and can pass through small holes.",Player´s Handbook (SRD)
Gate,https://www.aidedd.org/dnd/sorts.php?vo=gate,Level 9,conjuration,1 action,60 ft,"V,S,M",Yes,No,Create a portal to another plan. Also allows to summon a creature from another plane.,Player´s Handbook (SRD)
Geas,https://www.aidedd.org/dnd/sorts.php?vo=geas,Level 5,enchantment,1 minute,60 ft,V,No,No,The target must succeed on a Wis. save or be charmed and take 5d10 psychic if it doesn't obey (duration/lvl).,Player´s Handbook (SRD)
Gentle Repose,https://www.aidedd.org/dnd/sorts.php?vo=gentle-repose,Level 2,necromancy,1 action,Touch,"V,S,M",No,Yes,Protect a corpse from decay or to become undead.,Player´s Handbook (SRD)
Giant Insect,https://www.aidedd.org/dnd/sorts.php?vo=giant-insect,Level 4,transmutation,1 action,30 ft,"V,S",Yes,No,Transform insects (from 10 centipedes to 1 scorpion) into giant creatures that obey the caster's orders.,Player´s Handbook (SRD)
Glibness,https://www.aidedd.org/dnd/sorts.php?vo=glibness,Level 8,transmutation,1 action,Self,V,No,No,Give 15 to a Charisma check and hides the lies during a magic detection.,Player´s Handbook (SRD)
Globe of Invulnerability,https://www.aidedd.org/dnd/sorts.php?vo=globe-of-invulnerability,Level 6,abjuration,1 action,Self (10-ft radius),"V,S,M",Yes,No,Block 5th level spells or lower within a 10-ft radius (threshold/lvl).,Player´s Handbook (SRD)
Glyph of Warding,https://www.aidedd.org/dnd/sorts.php?vo=glyph-of-warding,Level 3,abjuration,1 hour,Touch,"V,S,M",No,No,A glyph on an object deals 5d8 damage in a 20-ft radius (damage/lvl) or casts a 3rd level spell (lvl/lvl) when triggered.,Player´s Handbook (SRD)
Goodberry,https://www.aidedd.org/dnd/sorts.php?vo=goodberry,Level 1,transmutation,1 action,Touch,"V,S,M",No,No,Create up to 10 berries that restore 1 hp each and keep their power for 24 hours.,Player´s Handbook (SRD)
Grasping Vine,https://www.aidedd.org/dnd/sorts.php?vo=grasping-vine,Level 4,conjuration,1 bonus action,30 ft,"V,S",Yes,No,The target must succeed on a Dex. save or be pulled 20 ft toward the vine.,Player´s Handbook
Grease,https://www.aidedd.org/dnd/sorts.php?vo=grease,Level 1,conjuration,1 action,60 ft,"V,S,M",No,No,Creatures in a 10-ft square (difficult terrain) must succeed on a Dex. save or fall prone.,Player´s Handbook (SRD)
Greater Invisibility,https://www.aidedd.org/dnd/sorts.php?vo=greater-invisibility,Level 4,illusion,1 action,Touch,"V,S",Yes,No,The target becomes invisible for 1 minute.,Player´s Handbook (SRD)
Greater Restoration,https://www.aidedd.org/dnd/sorts.php?vo=greater-restoration,Level 5,abjuration,1 action,Touch,"V,S,M",No,No,"End one condition (charmed or petrified), one curse, any ability scores or hp reduction, or one exhaustion level.",Player´s Handbook (SRD)
Green-Flame Blade,https://www.aidedd.org/dnd/sorts.php?vo=green-flame-blade,Cantrip,evocation,1 action,Self (5-ft radius),"V,M",No,No,"If a weapon attack hits, deals also fire damage equal to Ability.Mod to another creature (damage/lvl) within 5 ft.",Tasha´s Cauldron of Everything
Guardian of Faith,https://www.aidedd.org/dnd/sorts.php?vo=guardian-of-faith,Level 4,conjuration,1 action,30 ft,V,No,No,Hostiles creatures within a 10-ft radius of the created guardian must succeed on a Dex. save or take 20 radiant damage.,Player´s Handbook (SRD)
Guardian of Nature,https://www.aidedd.org/dnd/sorts.php?vo=guardian-of-nature,Level 4,transmutation,1 bonus action,Self,V,Yes,No,"Transform the caster into a Primal Beast (+10 ft, darkvision, ...) or a Great Tree (+10 hp, advantage to some rolls, ...).",Xanathar´s Guide to Everything
Guards and Wards,https://www.aidedd.org/dnd/sorts.php?vo=guards-and-wards,Level 6,abjuration,10 minutes,Touch,"V,S,M",No,No,Create a ward that protect a 50-ft square. Can set a password to immunize individuals.,Player´s Handbook (SRD)
Guidance,https://www.aidedd.org/dnd/sorts.php?vo=guidance,Cantrip,divination,1 action,Touch,"V,S",Yes,No,The target can add 1d4 to one ability check of its choice.,Player´s Handbook (SRD)
Guiding Bolt,https://www.aidedd.org/dnd/sorts.php?vo=guiding-bolt,Level 1,evocation,1 action,120 ft,"V,S",No,No,"If the spell attack hits, deals 4d6 radiant damage (damage/lvl) and the next attack roll will have advantage.",Player´s Handbook (SRD)
Gust,https://www.aidedd.org/dnd/sorts.php?vo=gust,Cantrip,transmutation,1 action,30 ft,"V,S",No,No,Control air to move objects or creatures (Medium or smaller) or create harmless sensory effects.,Xanathar´s Guide to Everything
Gust of Wind,https://www.aidedd.org/dnd/sorts.php?vo=gust-of-wind,Level 2,evocation,1 action,Self (60-ft line),"V,S,M",Yes,No,"Creatures on a 60-ft-long, 10-ft-wide line mus succeed on a Str. save or be pushed 15 ft away.",Player´s Handbook (SRD)
Hail of Thorns,https://www.aidedd.org/dnd/sorts.php?vo=hail-of-thorns,Level 1,conjuration,1 bonus action,Self,V,Yes,No,Creatures in a 5-ft radius must succeed on a Dex. save or take 1d10 piercing damage (damage/lvl).,Player´s Handbook
Hallow,https://www.aidedd.org/dnd/sorts.php?vo=hallow,Level 5,evocation,24 hours,Touch,"V,S,M",No,No,"Prevent celestials, elementals, fey, fiends, and undead to enter a 60-ft-radius area and protect/handicap the targets.",Player´s Handbook (SRD)
Hallucinatory Terrain,https://www.aidedd.org/dnd/sorts.php?vo=hallucinatory-terrain,Level 4,illusion,10 minutes,300 ft,"V,S,M",No,No,Make a natural terrain looks like another type (for example a road becomes a swamp or a crevasse).,Player´s Handbook (SRD)
Harm,https://www.aidedd.org/dnd/sorts.php?vo=harm,Level 6,necromancy,1 action,60 ft,"V,S",No,No,The target must succeed on a Con. save or take 14d6 necrotic damage. The spell can't kill it however.,Player´s Handbook (SRD)
Haste,https://www.aidedd.org/dnd/sorts.php?vo=haste,Level 3,transmutation,1 action,30 ft,"V,S,M",Yes,No,"Target's speed is doubled. It also gains a +2 bonus to AC, advantage to Dex. saves and 1 additional action.",Player´s Handbook (SRD)
Heal,https://www.aidedd.org/dnd/sorts.php?vo=heal,Level 6,evocation,1 action,60 ft,"V,S",No,No,"1 creature regains 70 hp and are cured of diseases, blindness, and deafness (+10 hp/lvl).",Player´s Handbook (SRD)
Healing Spirit,https://www.aidedd.org/dnd/sorts.php?vo=healing-spirit,Level 2,conjuration,1 bonus action,60 ft,"V,S",Yes,No,Creatures in touch with the spirit gain 1d6 hp (+1d6 hp/lvl).,Xanathar´s Guide to Everything
Healing Word,https://www.aidedd.org/dnd/sorts.php?vo=healing-word,Level 1,evocation,1 bonus action,60 ft,V,No,No,1 creature regains 1d4+Ability.Mod (+1d4 hp/lvl).,Player´s Handbook (SRD)
Heat Metal,https://www.aidedd.org/dnd/sorts.php?vo=heat-metal,Level 2,transmutation,1 action,60 ft,"V,S,M",Yes,No,Creatures in physical contact with the metal object take 2d8 fire damage (damage/lvl).,Player´s Handbook (SRD)
Hellish Rebuke,https://www.aidedd.org/dnd/sorts.php?vo=hellish-rebuke,Level 1,evocation,1 reaction,60 ft,"V,S",No,No,The target must succeed on a Dex. save or take 2d10 fire damage (damage/lvl).,Player´s Handbook (SRD)
Heroes' Feast,https://www.aidedd.org/dnd/sorts.php?vo=heroes--feast,Level 6,conjuration,10 minutes,30 ft,"V,S,M",No,No,"Produce a feast for 12 guests that cures diseases, immunizes to poison and increases hp by 2d10 for 24 hours.",Player´s Handbook (SRD)
Heroism,https://www.aidedd.org/dnd/sorts.php?vo=heroism,Level 1,enchantment,1 action,Touch,"V,S",Yes,No,The target is immune to being frightened and gains temporary hp equal to its Ability.Mod each turns (+1 creature/lvl).,Player´s Handbook (SRD)
Hex,https://www.aidedd.org/dnd/sorts.php?vo=hex,Level 1,enchantment,1 bonus action,90 ft,"V,S,M",Yes,No,"If an attack hits, deals an extra 1d6 necrotic damage. Disadvantage on a chosen ability check (duration/lvl).",Player´s Handbook (BR+)
Hold Monster,https://www.aidedd.org/dnd/sorts.php?vo=hold-monster,Level 5,enchantment,1 action,90 ft,"V,S,M",Yes,No,Target must succeed on a Wis. save or be paralyzed (+1 creature/lvl).,Player´s Handbook (SRD)
Hold Person,https://www.aidedd.org/dnd/sorts.php?vo=hold-person,Level 2,enchantment,1 action,60 ft,"V,S,M",Yes,No,The target must succeed on a Wis. save or be paralyzed (+1 creature/lvl).,Player´s Handbook (SRD)
Holy Aura,https://www.aidedd.org/dnd/sorts.php?vo=holy-aura,Level 8,abjuration,1 action,Self,"V,S,M",Yes,No,Targets in a 30-ft radius have advantage on saving throws. Other creatures have disadvantage on attack rolls against them.,Player´s Handbook (SRD)
Holy Weapon,https://www.aidedd.org/dnd/sorts.php?vo=holy-weapon,Level 5,evocation,1 bonus action,Touch,"V,S",Yes,No,"The touched weapon shines, deals an extra 2d8 radiant damage, and can burst on a 30-ft radius (Save or 4d8 radiant).",Xanathar´s Guide to Everything
Hunger of Hadar,https://www.aidedd.org/dnd/sorts.php?vo=hunger-of-hadar,Level 3,conjuration,1 action,150 ft,"V,S,M",Yes,No,Creatures in a 20-ft-radius sphere take 2d6 cold damage et must succeed on a Dex. save or take 2d6 acid damage.,Player´s Handbook
Hunter's Mark,https://www.aidedd.org/dnd/sorts.php?vo=hunter-s-mark,Level 1,divination,1 bonus action,90 ft,V,Yes,No,The target take an extra 1d6 damage and caster has advantage on Wisdom (Perception/Survival) checks to find it (duration/lvl).,Player´s Handbook (SRD)
Hypnotic Pattern,https://www.aidedd.org/dnd/sorts.php?vo=hypnotic-pattern,Level 3,illusion,1 action,120 ft,"S,M",Yes,No,"Creatures in a 30-ft cube must succeed on a Wis. save or be charmed and incapacitated, with a speed of 0.",Player´s Handbook (SRD)
Ice Knife,https://www.aidedd.org/dnd/sorts.php?vo=ice-knife,Level 1,conjuration,1 action,60 ft,"S,M",No,No,"If the spell attack hits, deals 1d10 piercing damage + Dex. save or 2d6 cold damage (damage/lvl) within 5 ft.",Xanathar´s Guide to Everything
Ice Storm,https://www.aidedd.org/dnd/sorts.php?vo=ice-storm,Level 4,evocation,1 action,300 ft,"V,S,M",No,No,"Creatures in a 20-ft-radius, 40-ft-high cylinder must succeed on a Dex. save or take 2d8 bludgeoning damage and 4d6 cold damage.",Player´s Handbook (SRD)
Identify,https://www.aidedd.org/dnd/sorts.php?vo=identify,Level 1,divination,1 minute,Touch,"V,S,M",No,Yes,"The caster obtains properties of a magic item (attunement, charges) or knows if an item or a creature is affected by a spell.",Player´s Handbook (SRD)
Illusory Dragon,https://www.aidedd.org/dnd/sorts.php?vo=illusory-dragon,Level 8,illusion,1 action,120 ft,S,Yes,No,Creatures that see this illusory Huge dragon must succedd on a Wis. save or be frightened for 1 min.,Xanathar´s Guide to Everything
Illusory Script,https://www.aidedd.org/dnd/sorts.php?vo=illusory-script,Level 1,illusion,1 minute,Touch,"S,M",No,Yes,Write a secret message that can only be read by a designated target or a creature with truesight.,Player´s Handbook (SRD)
